row_id,Previous_description,Description,Fanout,Cap,Slew,Delay,X_drive,Y_drive,X_sink,Y_sink,C_drive,C_sink,X_context,Y_context,σ(X)_context,σ(Y)_context,Drive_cell_size,Sink_cell_size,Delta,Label_Delay_Typical,Label_Delay_Slow,Label_Delay_Fast
14828,_14459_/A2 (sky130_fd_sc_hd__o21ai_2),_14459_/Y (sky130_fd_sc_hd__o21ai_2),0.0,0.0,0.06,0.88,883200.0,680000.0,883200.0,680000.0,0.00453,0.145579,12000.0,12000.0,0.0,0.0,2.0,2.0,1.63,2.51,2.51,2.51
268985,_1444_/X (sky130_fd_sc_hd__mux2_2),_1445_/A (sky130_fd_sc_hd__buf_1),1.0,0.0,0.05,0.0,121440.0,318240.0,119140.0,320960.0,0.31312,0.002152,12000.0,12000.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
306715,_1444_/Y (sky130_fd_sc_hd__nand2_2),_1445_/A (sky130_fd_sc_hd__inv_2),1.0,0.0,0.11,0.0,123740.0,138720.0,124660.0,136000.0,0.311289,0.004578,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
301132,_1300_/X (sky130_fd_sc_hd__buf_1),_1445_/B1 (sky130_fd_sc_hd__a22o_2),8.0,0.03,0.32,0.0,45080.0,263840.0,33120.0,269280.0,0.13093,0.002411,44751.42857142857,252571.4285714285,10955.70997025665,12506.930650072156,1.0,2.0,0.02,0.02,0.02,0.02
369354,_1438_/X (sky130_fd_sc_hd__and3b_2),_1445_/C_N (sky130_fd_sc_hd__nor3b_2),3.0,0.01,0.06,0.0,109940.0,195840.0,96600.0,193120.0,0.325022,0.001306,107640.0,193120.0,13010.764773832474,3846.660889654818,2.0,2.0,0.01,0.01,0.01,0.01
272323,_1216_/Y (sky130_fd_sc_hd__xnor2_2),_1445_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.09,0.0,90160.0,92480.0,96140.0,92480.0,0.126353,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
381188,_1718_/X (sky130_fd_sc_hd__buf_2),_1445_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.02,0.0,114080.0,182240.0,111780.0,179520.0,0.331431,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
378086,_1722_/X (sky130_fd_sc_hd__buf_2),_1445_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.02,0.0,149040.0,106080.0,149500.0,103360.0,0.331431,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
264641,_0914_/Y (sky130_fd_sc_hd__o211ai_2),_1445_/D (sky130_fd_sc_hd__dfstp_2),1.0,0.0,0.11,0.0,154100.0,97920.0,156860.0,97920.0,0.13917,0.002409,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
276777,_1163_/X (sky130_fd_sc_hd__buf_1),_1445_/D (sky130_fd_sc_hd__dfstp_2),1.0,0.0,0.03,0.0,92920.0,244800.0,90160.0,242080.0,0.13093,0.002409,12000.0,12000.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
384182,_1718_/X (sky130_fd_sc_hd__buf_2),_1445_/D (sky130_fd_sc_hd__dfxtp_2),1.0,0.0,0.02,0.0,170200.0,130560.0,170200.0,127840.0,0.331431,0.001708,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
375954,_1432_/Y (sky130_fd_sc_hd__nor2_2),_1445_/S (sky130_fd_sc_hd__mux2_2),8.0,0.05,0.53,0.04,78660.0,73440.0,186300.0,62560.0,0.148325,0.0033,129391.42857142857,44685.71428571428,53216.19785634553,18505.140598531765,2.0,2.0,0.0799999999999999,0.11999999999999991,0.11999999999999991,0.11999999999999991
301131,_1445_/B1 (sky130_fd_sc_hd__a22o_2),_1445_/X (sky130_fd_sc_hd__a22o_2),0.0,0.0,0.04,2.14,33120.0,269280.0,33120.0,269280.0,0.002411,0.317698,12000.0,12000.0,0.0,0.0,2.0,2.0,-1.1900000000000002,0.95,0.95,0.95
268984,_1445_/A (sky130_fd_sc_hd__buf_1),_1445_/X (sky130_fd_sc_hd__buf_1),0.0,0.0,0.02,0.09,119140.0,320960.0,119140.0,320960.0,0.002152,0.13093,12000.0,12000.0,0.0,0.0,1.0,1.0,-0.03,0.06,0.06,0.06
375953,_1445_/S (sky130_fd_sc_hd__mux2_2),_1445_/X (sky130_fd_sc_hd__mux2_2),0.0,0.0,0.05,3.91,186300.0,62560.0,186300.0,62560.0,0.0033,0.31312,12000.0,12000.0,0.0,0.0,2.0,2.0,-1.99,1.9200000000000002,1.9200000000000002,1.9200000000000002
306714,_1445_/A (sky130_fd_sc_hd__inv_2),_1445_/Y (sky130_fd_sc_hd__inv_2),0.0,0.0,0.03,0.51,124660.0,136000.0,124660.0,136000.0,0.004578,0.344248,12000.0,12000.0,0.0,0.0,2.0,2.0,-0.19,0.32,0.25,0.32
372195,_1445_/C_N (sky130_fd_sc_hd__nor3b_2),_1445_/Y (sky130_fd_sc_hd__nor3b_2),0.0,0.0,0.04,0.91,160540.0,247520.0,160540.0,247520.0,0.001306,0.097971,12000.0,12000.0,0.0,0.0,2.0,2.0,0.92,1.83,2.49,1.83
14827,_14459_/Y (sky130_fd_sc_hd__o21ai_2),_14461_/A (sky130_fd_sc_hd__xnor2_2),1.0,0.01,0.06,0.0,883200.0,680000.0,883200.0,712640.0,0.145579,0.008923,12000.0,12000.0,0.0,0.0,2.0,2.0,0.02,0.02,0.02,0.02
84913,_14460_/X (sky130_fd_sc_hd__a21o_2),_14461_/B2 (sky130_fd_sc_hd__o221a_2),1.0,0.0,0.03,0.0,156860.0,1177760.0,152260.0,1180480.0,0.323191,0.002391,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
126148,_14461_/B2 (sky130_fd_sc_hd__o221a_2),_14461_/X (sky130_fd_sc_hd__o221a_2),0.0,0.0,0.23,1.69,129260.0,1180480.0,129260.0,1180480.0,0.002391,0.296641,12000.0,12000.0,0.0,0.0,2.0,2.0,-0.75,0.94,1.26,0.7
14826,_14461_/A (sky130_fd_sc_hd__xnor2_2),_14461_/Y (sky130_fd_sc_hd__xnor2_2),0.0,0.0,0.3,3.18,883200.0,712640.0,883200.0,712640.0,0.008923,0.126353,1039600.0,723520.0,0.0,0.0,2.0,2.0,4.58,7.76,7.76,7.76
328624,_09926_/X (sky130_fd_sc_hd__o21a_2),_14462_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.03,0.0,582360.0,244800.0,581900.0,242080.0,0.311289,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
14825,_14461_/Y (sky130_fd_sc_hd__xnor2_2),_14464_/A1 (sky130_fd_sc_hd__a21o_2),2.0,0.02,0.3,0.02,883200.0,712640.0,1036840.0,723520.0,0.126353,0.002422,1039600.0,723520.0,0.0,0.0,2.0,2.0,0.06,0.08,0.08,0.08
14824,_14464_/A1 (sky130_fd_sc_hd__a21o_2),_14464_/X (sky130_fd_sc_hd__a21o_2),0.0,0.0,0.07,1.92,1036840.0,723520.0,1036840.0,723520.0,0.002422,0.323191,12000.0,12000.0,0.0,0.0,2.0,2.0,2.95,4.87,4.87,4.87
14823,_14464_/X (sky130_fd_sc_hd__a21o_2),_14465_/B2 (sky130_fd_sc_hd__o221a_2),1.0,0.0,0.07,0.0,1036840.0,723520.0,1043740.0,723520.0,0.323191,0.002391,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
328590,_09919_/X (sky130_fd_sc_hd__o21a_2),_14465_/D (sky130_fd_sc_hd__dfrtp_2),1.0,0.0,0.03,0.0,594780.0,244800.0,591560.0,239360.0,0.311289,0.002008,12000.0,12000.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
14822,_14465_/B2 (sky130_fd_sc_hd__o221a_2),_14465_/X (sky130_fd_sc_hd__o221a_2),0.0,0.0,0.05,1.88,1043740.0,723520.0,1043740.0,723520.0,0.002391,0.296641,12000.0,12000.0,0.0,0.0,2.0,2.0,2.13,4.01,4.01,4.01
